Ticker,Name,Sector,Industry,Price,Collection,Embedding_Dimension
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,WIKI/A,stocks/a,
AA,Alcoa Inc.,Basic Materials,Aluminum,WIKI/AA,stocks/aa,2
AAME,Atlantic American Corp.,Financial,Life Insurance,NA,stocks/aame,
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,WIKI/AAN,stocks/aan,2
AAON,AAON Inc.,Industrial Goods,General Building Materials,WIKI/AAON,stocks/aaon,2
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,WIKI/AAP,stocks/aap,2
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,NA,NA,
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,WIKI/AAPL,stocks/aapl,2
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",WIKI/AAWW,stocks/aaww,2
ABAX,"Abaxis, Inc.",Healthcare,Diagnostic Substances,WIKI/ABAX,stocks/abax,3
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,WIKI/ABC,stocks/abc,3
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,WIKI/ABCB,stocks/abcb,4
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,NA,stocks/abcd,
ABCO,The Advisory Board Company,Services,Business Services,WIKI/ABCO,stocks/abco,2
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,NA,stocks/ab,
ABFS,Arkansas Best Corporation,Services,Trucking,WIKI/ABFS,stocks/abfs,2
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,WIKI/ABG,stocks/abg,2
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,NA,stocks/abio,
ABM,ABM Industries Incorporated,Services,Business Services,WIKI/ABM,stocks/abm,2
ABMC,American Bio Medica Corp.,,,NA,stocks/abmc,
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ABMD,stocks/abmd,3
ABPI,"Accentia Biopharmaceuticals, Inc.",,,NA,stocks/abpi,
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,WIKI/ABT,stocks/abt,2
ABTL,Autobytel Inc.,Technology,Internet Information Providers,NA,stocks/abtl,
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,WIKI/ACAD,stocks/acad,2
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,WIKI/ACAT,stocks/acat,3
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,NA,stocks/abr,
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,NA,stocks/acc,
ACCL,Accelrys Inc.,Technology,Application Software,WIKI/ACCL,stocks/accl,2
ACE,ACE Limited,Financial,Property & Casualty Insurance,WIKI/ACE,stocks/ace,3
ACEL,"Tamir Biotechnology, Inc.",,,NA,stocks/acel,
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,WIKI/ACET,stocks/acet,2
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,NA,stocks/acfc,
ACFN,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services,WIKI/ACFN,stocks/acfn,3
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,WIKI/ACCO,stocks/acco,2
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,WIKI/ACGL,stocks/acgl,2
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,WIKI/ACHC,stocks/achc,1
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ACHN,stocks/achn,3
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/ACI,stocks/aci,3
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,WIKI/ACIW,stocks/aciw,3
ACM,AECOM Technology Corporation,Services,Technical Services,WIKI/ACM,stocks/acm,2
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,WIKI/ACLS,stocks/acls,2
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services,NA,stocks/acmp,
ACN,Accenture plc,Technology,Information Technology Services,WIKI/ACN,stocks/acn,3
ACNB,ACNB Corp.,Financial,Regional - Southwest Banks,NA,stocks/acnb,
ACO,AMCOL International Corporation,Basic Materials,Industrial Metals & Minerals,WIKI/ACO,stocks/aco,3
